Table with row headings in column A and column headings in rows 4 to 6.													
Table 4.  Perceived Health Status by Selected Characteristics and Health Insurance Status: 2002													
(Numbers in thousands.   Only people in the noninstitutionalized population)													
Characteristic & Health Insurance Status	"Total 
Number/
Percent"	"Standard 
Error\1"	Health Status (percent)										
			Excellent		Very Good		Good		Fair		Poor		
			Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	
All People	"283,751"	*****	"98,253"	"1,086"	"86,797"	972	"66,525"	897	"22,726"	362	"9,450"	228	
  .Insured (any type)	85.07	0.26	86.71	0.40	85.25	0.37	81.79	0.45	84.94	0.64	89.69	0.73	
    ..Privately insured (alone or  in combination)	72.69	0.32	77.96	0.48	76.57	0.46	67.93	0.55	58.14	0.91	50.65	1.32	
    ..Medicare	12.99	0.07	3.25	0.13	8.20	0.19	18.99	0.32	38.63	0.76	54.40	1.09	
    ..Medicaid	12.12	0.26	10.51	0.34	9.60	0.33	12.57	0.38	20.53	0.73	28.57	1.30	
    ..Publically insured (no private)	12.38	0.23	8.76	0.30	8.67	0.30	13.86	0.35	26.80	0.78	39.04	1.40	
  .Uninsured	14.93	0.26	13.29	0.40	14.75	0.37	18.21	0.45	15.06	0.64	10.31	0.73	
People aged 0-64	"249,874"	*****	"95,144"	"1,036"	"79,837"	916	"54,412"	824	"15,052"	293	"5,429"	183	
  .Insured (any type)	83.17	0.29	86.31	0.41	84.05	0.40	77.90	0.55	77.94	0.94	82.51	1.24	
    ..Privately insured (alone or  in combination)	72.27	0.33	77.76	0.49	75.91	0.48	65.71	0.63	52.90	1.11	42.03	1.45	
    ..Medicare	1.91	0.06	0.25	0.03	0.61	0.06	1.97	0.14	10.60	0.52	25.36	1.34	
    ..Medicaid	12.50	0.28	10.70	0.35	10.08	0.36	13.70	0.45	24.02	0.97	35.86	1.70	
    ..Publically insured (no private)	10.90	0.24	8.54	0.31	8.14	0.31	12.20	0.41	25.04	0.95	40.48	1.67	
  .Uninsured	16.83	0.29	13.69	0.41	15.95	0.40	22.10	0.55	22.06	0.94	17.49	1.24	
People aged 18-64	"177,082"	*****	"53,920"	715	"59,507"	707	"44,517"	653	"13,952"	263	"5,186"	177	
  .Insured (any type)	82.09	0.31	85.70	0.45	83.77	0.42	77.00	0.60	77.20	0.98	82.29	1.26	
    ..Privately insured (alone or  in combination)	74.91	0.33	82.84	0.44	79.89	0.42	69.16	0.62	53.61	1.12	42.07	1.50	
    ..Medicare	2.69	0.09	0.45	0.06	0.81	0.08	2.41	0.17	11.44	0.55	26.55	1.39	
    ..Medicaid	7.33	0.22	3.36	0.21	4.58	0.22	8.13	0.38	21.68	0.96	34.92	1.64	
    ..Publically insured (no private)	7.18	0.19	2.86	0.18	3.88	0.20	7.84	0.35	23.59	0.97	40.22	1.64	
  .Uninsured	17.91	0.31	14.30	0.45	16.23	0.42	23.00	0.60	22.80	0.98	17.71	1.26	
People aged 65 and older	"33,877"	*****	"3,109"	128	"6,961"	178	"12,113"	213	"7,674"	194	"4,021"	127	
  .Insured (any type)	99.08	0.10	99.21	0.27	99.01	0.28	99.25	0.17	98.66	0.26	99.39	0.21	
    ..Privately insured (alone or  in combination)	75.75	0.55	83.93	1.61	84.21	0.94	77.90	0.91	68.40	1.18	62.29	1.72	
    ..Medicare	94.72	0.28	94.94	0.78	95.21	0.53	95.43	0.43	93.62	0.63	93.63	0.89	
    ..Medicaid	9.28	0.41	4.67	0.82	4.16	0.49	7.51	0.55	13.67	0.83	18.72	1.34	
    ..Publically insured (no private)	23.33	0.54	15.28	1.59	14.80	0.90	21.35	0.91	30.26	1.15	37.10	1.72	
  .Uninsured	0.92	0.10	0.79	0.27	0.99	0.28	0.75	0.17	1.34	0.26	0.61	0.21	
Family income less than 200 percent of poverty threshold\2	"95,773"	"1,028"	"28,905"	727	"25,993"	545	"25,098"	499	"10,550"	263	"5,227"	194	
  .Insured (any type)	73.33	0.44	73.76	0.79	71.74	0.77	69.95	0.73	77.82	0.87	86.14	1.01	
    ..Privately insured (alone or  in combination)	44.98	0.52	49.88	0.99	48.87	0.97	42.33	0.83	35.05	1.15	31.40	1.58	
    ..Medicare	14.92	0.25	2.99	0.25	7.87	0.39	18.92	0.55	36.67	1.07	52.93	1.66	
