Table with row headings in column A and column headings in rows 4 to 6.													
Table 4.  Perceived Health Status by Selected Characteristics and Health Insurance Status: 2009													
(Numbers in thousands.   Only people in the noninstitutionalized population)													
Characteristic & Health Insurance Status	"Total 
Number/
Percent"	"Standard 
Error\1"	Health Status (percent)										
			Excellent		Very Good		Good		Fair		Poor		
			Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	Estimate	Standard Error\1	
All People	"302,079"	*****	"95,964"	769	"98,904"	768	"74,671"	692	"25,052"	343	"7,487"	154	
  .Insured (any type)	82.88	0.20	86.05	0.32	82.41	0.30	79.79	0.37	81.13	0.53	85.12	0.90	
    ..Privately insured (alone or  in combination)	66.19	0.27	71.83	0.45	69.62	0.42	62.20	0.43	50.39	0.70	41.29	1.18	
    ..Medicare	14.37	0.05	4.01	0.12	10.17	0.17	21.30	0.29	38.79	0.56	51.58	1.14	
    ..Medicaid	14.92	0.19	15.39	0.31	12.14	0.30	14.31	0.31	20.95	0.56	31.85	1.11	
    ..Publically insured (no private)	16.69	0.19	14.23	0.31	12.79	0.29	17.59	0.31	30.75	0.67	43.83	1.20	
  .Uninsured	17.12	0.20	13.95	0.32	17.59	0.30	20.21	0.37	18.87	0.53	14.88	0.90	
People aged 0-64	"263,885"	*****	"92,202"	722	"89,247"	742	"60,202"	639	"17,498"	308	"4,736"	130	
  .Insured (any type)	80.51	0.23	85.50	0.34	80.63	0.33	75.12	0.46	73.19	0.74	76.91	1.31	
    ..Privately insured (alone or  in combination)	65.44	0.30	71.33	0.46	68.55	0.45	60.04	0.50	45.90	0.84	33.29	1.37	
    ..Medicare	2.36	0.05	0.24	0.03	0.77	0.06	3.04	0.14	13.22	0.48	24.90	1.19	
    ..Medicaid	15.87	0.21	15.91	0.32	13.06	0.33	15.88	0.35	24.17	0.71	37.33	1.42	
    ..Publically insured (no private)	15.07	0.21	14.17	0.32	12.07	0.31	15.08	0.35	27.30	0.77	43.62	1.48	
  .Uninsured	19.49	0.23	14.50	0.34	19.37	0.33	24.88	0.46	26.81	0.74	23.09	1.31	
People aged 18-64	"189,668"	*****	"49,903"	488	"67,827"	559	"51,053"	514	"16,357"	283	"4,528"	128	
  .Insured (any type)	77.89	0.24	82.44	0.43	79.10	0.35	73.74	0.50	72.41	0.80	76.30	1.33	
    ..Privately insured (alone or  in combination)	68.51	0.28	77.64	0.48	73.42	0.38	63.18	0.53	46.84	0.85	32.83	1.38	
    ..Medicare	3.28	0.07	0.45	0.06	1.01	0.08	3.58	0.16	14.15	0.50	26.04	1.22	
    ..Medicaid	9.20	0.16	5.42	0.22	6.05	0.19	10.62	0.30	21.83	0.70	36.47	1.47	
    ..Publically insured (no private)	9.38	0.16	4.80	0.22	5.68	0.19	10.56	0.31	25.57	0.76	43.47	1.54	
  .Uninsured	22.11	0.24	17.56	0.43	20.90	0.35	26.26	0.50	27.59	0.80	23.70	1.33	
People aged 65 and older	"38,194"	*****	"3,762"	123	"9,657"	165	"14,469"	190	"7,554"	135	"2,752"	94	
  .Insured (any type)	99.24	0.11	99.70	0.19	98.92	0.33	99.18	0.17	99.53	0.12	99.25	0.27	
    ..Privately insured (alone or  in combination)	71.33	0.51	84.10	1.17	79.47	0.87	71.16	0.69	60.80	1.17	55.06	1.86	
    ..Medicare	97.31	0.19	96.46	0.58	97.05	0.38	97.31	0.33	98.00	0.28	97.51	0.55	
    ..Medicaid	8.40	0.28	2.60	0.47	3.64	0.35	7.77	0.43	13.49	0.83	22.41	1.41	
    ..Publically insured (no private)	27.91	0.51	15.59	1.15	19.45	0.87	28.02	0.68	38.73	1.17	44.19	1.88	
  .Uninsured	0.76	0.11	0.30	0.19	1.08	0.33	0.82	0.17	0.47	0.12	0.75	0.27	
Family income less than 200 percent of poverty threshold\2	"108,342"	860	"30,315"	495	"32,407"	528	"28,966"	431	"12,362"	248	"4,291"	121	
  .Insured (any type)	69.93	0.40	73.66	0.69	67.13	0.62	66.67	0.70	72.16	0.87	80.35	1.29	
    ..Privately insured (alone or  in combination)	34.70	0.44	37.90	0.85	37.41	0.71	33.70	0.66	26.39	0.83	22.43	1.31	
    ..Medicare	14.16	0.21	2.56	0.16	8.02	0.30	18.80	0.49	36.38	0.77	47.14	1.59	
