WBAN_ID,STATION_NAME,STATE_PROVINCE,COUNTRY
00000,WOLF POINT,MT,US
00100,DEXTER B FLORENCE MEMORIAL FIELD AP,AR,US
00101,MANAS INTERNATIONAL AIRPORT,,KG
00102,BOB BARKER MEMORIAL AIRPORT,AK,US
00103,WALES AIRPORT,AK,US
00104,NIKOLAI AIRPORT,AK,US
00105,MARSHALL DON HUNTER SR AIRPORT,AK,US
00106,KIPNUK AIRPORT,AK,US
00107,NEW STUYAHOK AIRPORT,AK,US
00108,SCAMMON BAY AIRPORT,AK,US
00110,NELSON LAGOON AIRPORT,AK,US
00111,SHAKTOOLIK AIRPORT,AK,US
00112,KOLIGANEK AIRPORT,AK,US
00113,ROBERT (BOB) CURTIS MEMORIAL AIRPORT,AK,US
00114,STARR BROWNING AIRSTRIP,MT,US
00115,BIG BEAR CITY AIRPORT,CA,US
00117,LONNIE POOL FIELD WEAVERVILLE AIRPORT,CA,US
00118,TILLAMOOK AIRPORT,OR,US
00119,CHEHALIS CENTRALIA AIRPORT,WA,US
00120,TAZEWELL COUNTY AIRPORT,VA,US
00121,RYAN FIELD AIRPORT,AZ,US
00122,NEW CASTLE MUNICIPAL AIRPORT,PA,US
00123,ST MICHAEL AIRPORT,AK,US
00124,BAY BRIDGE AIRPORT,MD,US
00125,WILLMAR MUNICIPAL AIRPORT JOHN L RICE FIELD,MN,US
00126,ST MARYS COUNTY REGIONAL AIRPORT,MD,US
00127,BEEVILLE MUNICIPAL AIRPORT,TX,US
00128,HOMERVILLE AIRPORT,GA,US
00129,HEREFORD MUNICIPAL AIRPORT,TX,US
00130,PLEASANTON MUNICIPAL AIRPORT,TX,US
00131,OHIO UNIVERSITY AIRPORT SNYDER FIELD,OH,US
00132,WAUTOMA MUNICIPAL AIRPORT,WI,US
00133,CLINTON MUNICIPAL AIRPORT,AR,US
00134,KICKAPOO DOWNTOWN AIRPORT,TX,US
00135,GNOSS FIELD AIRPORT,CA,US
00136,CHESTER COUNTY GO CARLSON AIRPORT,PA,US
00137,ANGEL FIRE AIRPORT,NM,US
00138,POSEY FIELD AIRPORT,AL,US
00139,KNOX COUNTY AIRPORT,OH,US
00140,FREMONT MUNICIPAL AIRPORT,MI,US
00141,INDEPENDENCE MUNICIPAL AIRPORT,KS,US
00142,ATKINSON MUNICIPAL AIRPORT,KS,US
00143,CHEYENNE COUNTY MUNICIPAL AIRPORT,KS,US
00144,STUART POWELL FIELD AIRPORT,KY,US
00145,MADISON AIRPORT,KY,US
00146,MOUNT STERLING MONTGOMERY COUNTY AIRPORT,KY,US
00148,GEORGE R CARR MEMORIAL AIR FIELD,LA,US
00149,MONETT MUNICIPAL AIRPORT,MO,US
00150,GWINNER ROGER MELROE FIELD AIRPORT,ND,US
00151,CALEDONIA COUNTY AIRPORT,VT,US
00152,FRANKLIN COUNTY STATE AIRPORT,VT,US
00153,CHESTERFIELD COUNTY AIRPORT,VA,US
00154,HAMPTON ROADS EXECUTIVE AIRPORT,VA,US
00155,TAPPAHANNOCK ESSEX COUNTY AIRPORT,VA,US
00156,WALKER COUNTY AIRPORT BEVILL FIELD,AL,US
00157,WALDEN JACKSON COUNTY AIRPORT,CO,US
00158,BLAKE FIELD AIRPORT,CO,US
00159,HARRIET ALEXANDER FIELD AIRPORT,CO,US
